method,n_components,algorithm,k,silhouette,dunn,wcss,ari,nmi,time
PCA_randomized,13,PCA_randomized,5,0.15647435189419864,0.021058884629066757,13570.089668030665,0.21030654754737882,0.40246888288199184,0.03652763366699219
PCA_randomized,13,PCA_randomized,6,0.17691079663199896,0.023566829942072515,12365.203225656303,0.25275903746841005,0.40170674460513117,0.046390533447265625
PCA_randomized,13,PCA_randomized,7,0.17908144271062743,0.021638013316497604,11512.623705628723,0.21582521405373487,0.3797400002524368,0.0410306453704834
PCA_randomized,13,PCA_randomized,8,0.19222044159700907,0.026786646385925615,10719.644229567686,0.1854503260830152,0.3906065255026265,0.04870486259460449
PCA_randomized,14,PCA_randomized,2,0.2065055402216608,0.015015645454166093,17599.193800437344,0.19850435187090196,0.30314614342986157,0.02826380729675293
PCA_randomized,14,PCA_randomized,3,0.1686791501657081,0.02659812333615752,16134.942663334155,0.23513525071465932,0.39023931586788657,0.04301261901855469
PCA_randomized,14,PCA_randomized,4,0.15453915480984273,0.016630691037337022,14938.398868994547,0.25275903746841005,0.40170674460513117,0.04767656326293945
PCA_randomized,14,PCA_randomized,5,0.17289671138202722,0.018778714182087555,13750.773147005864,0.2322317790855591,0.3926130792888557,0.04523921012878418
PCA_randomized,14,PCA_randomized,6,0.1548184528562376,0.01890076429147516,12826.005610041217,0.19754075168210092,0.38977919488932083,0.03957843780517578
PCA_randomized,14,PCA_randomized,7,0.1876255279620295,0.012088900178044223,12136.612482077848,0.2220071882775781,0.39379523294132945,0.04537320137023926
PCA_randomized,14,PCA_randomized,8,0.1915980872670003,0.025016204523282112,11236.51000351425,0.2220071882775781,0.39379523294132934,0.04801607131958008
PCA_randomized,15,PCA_randomized,2,0.20179312962819917,0.015488098254381126,18034.67735679593,0.20308538370888835,0.31648943994931755,0.02797842025756836
PCA_randomized,15,PCA_randomized,3,0.16320303474375822,0.025767685338861604,16571.180851062232,0.25670041691483025,0.4097041872085896,0.030878782272338867
PCA_randomized,15,PCA_randomized,4,0.15185691849297703,0.024863789878896935,15356.250132374693,0.25275903746841005,0.40170674460513117,0.0398564338684082
PCA_randomized,15,PCA_randomized,5,0.15567537995437727,0.024863789878896935,14166.490630756569,0.25715564094803195,0.399146656644012,0.04444313049316406
PCA_randomized,15,PCA_randomized,6,0.1677041801551505,0.024863789878896935,13219.60096537314,0.25275903746841005,0.40170674460513117,0.03406214714050293
